,names,scores,logfoldchanges,pvals,pvals_adj,log_pval
639,Lancl3,0.1549698,0.16806315,0.8768451308091226,0.9949125519138148,0.057077105350406186
640,Casr,0.15229328,0.19978395,0.878955620210055,0.9949125519138148,0.05603305255359668
641,Pappa2,0.15054463,0.31140587,0.8803349389215731,0.9949125519138148,0.055352061429273576
642,Brs3,0.15004583,0.4022408,0.8807284569732139,0.9949125519138148,0.05515797106137449
643,Zbtb7c,0.14732066,0.1052552,0.8828789267731452,0.9949125519138148,0.05409884912858183
644,Eya2,0.14059371,0.18380849,0.88819092295043,0.9949125519138148,0.0514936695013248
645,Vgll2,0.14042987,0.3298231,0.8883203600347169,0.9949125519138148,0.05143038387843309
646,Irx3,0.14027739,0.20387328,0.8884408289076304,0.9949125519138148,0.05137149136417375
647,Gpr139,0.1401468,0.29243082,0.8885439984482245,0.9949125519138148,0.05132106216349508
648,Tfap2d,0.13970965,0.28849316,0.8888894058589651,0.9949125519138148,0.051152269865546884
649,Met,0.13429742,0.20710094,0.893167391971546,0.9949125519138148,0.04906714066701938
650,Ntng1,0.1340249,0.165264,0.8933828811215393,0.9949125519138148,0.048962373674883285
651,Evx2,0.13202645,0.22014008,0.8949633743673857,0.9949125519138148,0.04819473746130861
652,Ccbe1,0.13168499,0.22596881,0.8952334599485436,0.9949125519138148,0.04806369413000556
653,Crhr2,0.13160388,0.26537645,0.895297615079349,0.9949125519138148,0.04803257239222053
654,Itga8,0.13119835,0.18190947,0.8956184009969208,0.9949125519138148,0.04787699217057638
655,Esrrb,0.1306963,0.26845312,0.8960155576016963,0.9949125519138148,0.04768444957681405
656,Cdk15,0.1291423,0.28217766,0.897245047147686,0.9949125519138148,0.04708893032252019
657,Nhlh2,0.12845452,0.5288594,0.8977892843103801,0.9949125519138148,0.046825582485985943
658,Fgf18,0.12409911,0.121500015,0.9012367977366682,0.9949125519138148,0.045161084227698836
659,Fndc1,0.1231745,0.07369997,0.9019689141149039,0.9949125519138148,0.04480842993145321
660,Endou,0.12107142,0.1931028,0.9036344673278515,0.9949125519138148,0.04400721214210453
661,Gal,0.11794072,0.5243158,0.9061146319627779,0.9949125519138148,0.04281685653987669
662,Tnfrsf8,0.117638186,0.58571064,0.9063543444536384,0.9949125519138148,0.0427019791941283
663,Otx1,0.11554322,0.06507049,0.9080145703081364,0.9949125519138148,0.04190718258722552
